day,tranche,accts,balance,past_due_amt,amount_owed_to_dt,total_payments_amt
2022-06-11,30-44,30,38015.5268035041,3792.06,3275.48,0
2022-06-11,45-59,5,8448.3428089281,1071.43,1016.4,0
2022-06-11,8-14,128,157666.366902151,5939.57,5941.88,814.86
2022-06-11,Current,5113,6877197.8890700145,1786.47,27540.48,46740.99
2022-06-12,1-7,176,218952.3982244342,6881.16,4745.48,2638.17
2022-06-12,15-29,101,128577.4353960628,7988.08,6728.65,504.23
2022-06-12,30-44,35,43865.9142784619,4288,3652.97,6.83
2022-06-12,45-59,7,10514.4827286083,1309.55,1211.22,0
2022-06-12,8-14,128,159400.4032445328,5982.12,5923.32,814.86
2022-06-12,Current,5100,6827446.50308667,1850.62,27938.43,47115.57
2022-06-13,1-7,172,205889.6880483793,6306.54,5551.1,2395.72
2022-06-13,15-29,107,136950.1576556743,8670.36,7727.98,504.23
2022-06-13,30-44,29,36862.4972763385,3500.73,3127.55,6.83
2022-06-13,45-59,14,18012.246200057,2183.55,1963.06,0
2022-06-13,8-14,124,160420.25354802,6111.8,6161.54,1019.04
2022-06-13,Current,5212,6938335.37893196,2273.4,31175.43,48643.41
2022-06-14,1-7,175,214441.3275216481,6490.62,8292.05,2524.31
2022-06-14,15-29,116,155102.1370822609,9744.07,9903.81,564.1
2022-06-14,30-44,30,37327.9588831384,3569.21,3504.38,6.83
2022-06-14,45-59,13,17053.674543756,2046.84,2007,0
2022-06-14,60-74,1,975.3418032086,136.71,136.71,0
2022-06-14,8-14,127,156737.913201656,5631.44,6627.31,1162.17
2022-06-14,Current,5288,7001373.949864362,1787.25,39678.17,49849.99
2022-06-15,1-7,173,205798.0087214819,6343.29,8291.95,2866.29
2022-06-15,15-29,119,155103.9938007961,9818.11,10227.95,575.68
2022-06-15,30-44,31,39105.5928351458,3778.81,3715.55,6.83
2022-06-15,45-59,13,17069.5425741978,2055.36,2046.84,0
2022-06-15,60-74,1,976.2439196744,136.71,136.71,0
2022-06-15,8-14,133,168171.6150041489,6263.39,7176.95,1300.58
2022-06-15,Current,5346,7094813.769983762,2500.26,41427,54657.15
2022-06-16,1-7,178,214220.4368986709,6791.91,8228.03,2867.05
2022-06-16,15-29,128,169290.8135354756,10735.78,10722.93,575.68
2022-06-16,30-44,30,38911.4930553663,3827.86,3678.34,6.83
2022-06-16,45-59,15,18494.597333958,2312.35,2224.2,0
2022-06-16,60-74,1,977.1460361402,136.71,136.71,0
2022-06-16,8-14,136,170553.3023161816,6568.31,7409.55,1472.98
2022-06-16,Current,5395,7165912.290100575,3294.26,42378.6,55967.49
2022-06-17,1-7,163,186036.8454335388,6396.63,7236.33,2778.54
2022-06-17,15-29,141,185904.5793059144,12417.3,11690.06,620.28
2022-06-17,30-44,32,43620.7196004693,4365.86,4070.99,35.77
2022-06-17,45-59,16,19226.2618871985,2554.09,2322.64,0
2022-06-17,60-74,1,978.048152606,151.9,136.71,0
